well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_RSHA,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_DTC,hampel_DTS,hampel_RDEP,hampel_SP,hampel_RMED
L16-LOGGER-04,nlog,27349,False,True,0.0,True,6,,b546296cc4d01f5b,"GR,DTC,SP,RDEP,RMED,RSHA",0.6952,1.0,1.0,0.6963,1.0,0.8468,1.0,0.7013,0.7009,0.6952,1.0,0.01835,,,,,0.00048,0.0,0.0,0.0,0.03383,,0.02387,0.03245,0.03093
L16-LOGGER-04-S1,nlog,35374,False,True,0.0,True,6,,8eeaa2fd1994b8ce,"GR,DTC,SP,RDEP,RMED,RSHA",0.6952,1.0,1.0,0.6955,1.0,0.6952,1.0,0.6952,0.6952,0.6952,1.0,0.02013,,,,,0.0,0.0,0.0,0.0,0.03946,,0.02458,0.02866,0.03339
L16-LOGGER-04-S3,nlog,12512,False,True,0.0,True,3,,2b461428c04d4758,"GR,RHOB,DTC,CALI",0.4845,0.4846,1.0,0.4845,1.0,1.0,0.9485,1.0,1.0,1.0,1.0,0.01504,0.03132,,,0.01398,,0.0,0.0,0.0,0.03271,,,,
L16-LOGGER-05,nlog,12483,True,False,0.0,True,8,,2570249046998f58,"GR,RHOB,NPHI,DTC,PEF,CALI,RDEP,RMED",0.8777,0.8754,0.8761,0.9098,0.8778,1.0,0.8754,0.5835,0.5835,1.0,1.0,0.02816,0.03408,0.02133,0.03014,0.0,,0.0,0.0,0.0,0.03996,,0.03712,,0.04559
L16-15,nlog,8035,True,False,31.85,False,2,only 2 curves >= 100 m (need 3),487928e22fa359de,"GR,CALI",0.0229,1.0,1.0,1.0,1.0,1.0,0.0281,1.0,1.0,1.0,1.0,0.03885,,,,0.03688,,0.0,0.0,0.0,,,,,
L16-LOGGER-06,nlog,8277,True,False,65.68,True,5,,1caeb08f396e2a54,"GR,RHOB,NPHI,PEF,CALI",0.6953,0.6953,0.6953,1.0,0.6953,1.0,0.6965,1.0,1.0,1.0,1.0,0.02379,0.02102,0.02419,0.02339,0.00916,,65.7,65.7,65.7,,,,,
L16-LOGGER-07-S1,nlog,17582,True,False,16.15,True,8,,6091381b3ab5281a,"GR,RHOB,NPHI,DTC,PEF,CALI,RDEP,RMED",0.9028,0.9006,0.9019,0.9197,0.9006,1.0,0.9014,0.5034,0.5034,1.0,1.0,0.04037,0.03547,0.02146,0.02117,0.0271,,16.2,16.2,16.2,0.04108,,0.04948,,0.04696
L16-LOGGER-08-S1,nlog,4692,False,True,0.0,True,3,,26c0d75c9e79e6e6,"GR,DTC,RDEP",0.01,1.0,1.0,0.0413,1.0,1.0,1.0,0.0239,1.0,1.0,1.0,0.03294,,,,,,0.0,0.0,0.0,0.05714,,0.08886,,
L16-LOGGER-10,nlog,5167,True,False,11.58,True,6,,b3860ccde51f1442,"GR,RHOB,NPHI,DTC,CALI,RDEP",0.253,0.2562,0.2508,0.6799,1.0,1.0,0.2499,0.2487,1.0,1.0,1.0,0.03497,0.04137,0.02144,,0.03664,,8.2,10.8,0.0,0.03567,,0.04611,,
L17-01,nlog,21778,False,True,0.0,True,8,,392d70a7a6ee9906,"GR,RHOB,NPHI,DTC,SP,CALI,RDEP,RSHA",0.009,0.8083,0.3595,0.6543,1.0,0.9373,0.8083,0.808,1.0,0.808,1.0,0.02099,0.02874,0.01635,,0.03019,0.04066,0.0,0.0,0.0,0.0267,,0.05956,0.05198,
L17-03,nlog,21380,False,True,0.0,True,4,,544e9da5562d4b75,"GR,RHOB,NPHI,DTC",0.0,0.7927,0.7927,0.2881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02619,0.0397,0.03993,,,,0.0,0.0,0.0,0.02943,,,,
LBR-01,nlog,5387,False,True,0.0,True,8,,e0c7734730f11d19,"GR,RHOB,DTC,SP,CALI,RDEP,RMED,RSHA",0.0048,0.3603,1.0,0.0084,1.0,0.3677,0.0084,0.3677,0.3677,0.3677,1.0,0.04141,0.04382,,,0.03089,0.03376,0.0,0.0,0.0,0.03706,,0.02114,0.02936,0.02319
LEL-01,nlog,13451,False,True,0.0,True,3,,167dc2581313a6f9,"GR,RHOB,DTC",0.0009,0.7202,1.0,0.2644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02671,0.04304,,,,,0.0,0.0,0.0,0.03942,,,,
LEW-01,nlog,10939,False,True,0.0,True,3,,a2f0c35da38f8364,"GR,RHOB,DTC",0.0004,0.8152,1.0,0.0357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01802,0.02425,,,,,0.0,0.0,0.0,0.03678,,,,
LEW-03,nlog,10710,True,False,694.33,True,6,,10632ceacb1dc65b,"GR,RHOB,DTC,SP,CALI,RDEP",0.4425,0.8426,1.0,0.4563,1.0,0.1655,0.0017,0.1657,1.0,1.0,1.0,0.01859,0.03499,,,0.03217,,95.9,0.0,0.0,0.01923,,0.02462,0.03178,
LEW-05,nlog,18025,False,True,0.0,True,5,,f2e7f45dc1490dac,"GR,RHOB,DTC,SP,RDEP",0.0001,0.8646,1.0,0.1283,1.0,0.3862,1.0,0.3862,1.0,1.0,1.0,0.0223,0.03482,,,,,0.0,0.0,0.0,0.02717,,0.02522,0.0282,
