well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_SP,hampel_RDEP,hampel_RMED,hampel_DTC,hampel_RSHA,hampel_DTS
1055385513,kgs,4520,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),b29315f6aca80d9d,"GR,NPHI",0.0031,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04439,0.0,0.0,0.0,,0.0,,,,,,,,
1055385514,kgs,5373,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),d8d5e8188dccec12,"GR,NPHI",0.0601,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04554,0.0,0.0,0.0,,0.0,,,,,,,,
1055385515,kgs,1884,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),e4a53b6c74f1c8bd,"GR,NPHI",0.009,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04713,0.0,0.0,0.0,,0.0,,,,,,,,
1055385516,kgs,1842,False,True,0.0,True,7,,da24c3e69afbab84,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0109,0.0,0.0,1.0,1.0,0.1661,0.0005,0.0043,0.0022,1.0,1.0,0.03238,0.0,0.0,0.0,0.02117,0.0228,,0.0,0.00521,0.01636,0.02013,,,
1055385517,kgs,2149,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),ab07e5067de2269e,"GR,NPHI",0.007,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03608,0.0,0.0,0.0,,0.0,,,,,,,,
1055385518,kgs,1909,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),11e29ed9eb15085e,"GR,NPHI",0.0084,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05124,0.0,0.0,0.0,,0.0,,,,,,,,
1055385519,kgs,1869,False,True,0.0,True,7,,83c8b972d7a018c7,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.008,0.0,0.0016,1.0,1.0,0.0166,0.0016,0.0064,0.0043,1.0,1.0,0.03937,0.0,0.0,0.0,0.02194,0.04287,,0.0,0.03863,0.02639,0.01451,,,
1055385520,kgs,1933,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),f6db02063bf36c76,"GR,NPHI",0.0078,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05579,0.0,0.0,0.0,,0.0,,,,,,,,
1055385521,kgs,2106,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),e322a52901fed4e6,"GR,NPHI",0.0071,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03587,0.0,0.0,0.0,,0.0,,,,,,,,
1055385522,kgs,1805,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),59c4a8b518a394ed,GR,0.0072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04632,0.0,0.0,0.0,,,,,,,,,,
1055385523,kgs,1764,False,True,0.0,True,7,,2563b3e404d69c0e,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0079,0.0,0.0,1.0,1.0,0.0238,0.0006,0.004,0.0011,1.0,1.0,0.05829,0.0,0.0,0.0,0.02664,0.03855,,0.00113,0.01626,0.02846,0.0244,,,
1055385524,kgs,2220,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),f2e9d542862bd09e,"GR,NPHI",0.0068,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0458,0.0,0.0,0.0,,0.0,,,,,,,,
1055385525,kgs,1806,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),e15a19ea5bb4a34b,GR,0.0072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04071,0.0,0.0,0.0,,,,,,,,,,
1055385526,kgs,1878,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),edfc74c89841705a,"GR,NPHI",0.0091,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04514,0.0,0.0,0.0,,0.0,,,,,,,,
1055385527,kgs,3300,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),3d133dc736370b6b,GR,0.0048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03806,0.0,0.0,0.0,,,,,,,,,,
