well_id,cov_m_GR,cov_m_RHOB,cov_m_NPHI,cov_m_DTC,cov_m_PEF,cov_m_SP,cov_m_CALI,cov_m_RDEP,cov_m_RMED,cov_m_RSHA,cov_m_DTS
BDM-04,3449.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDM-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEI-01,1686.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEI-02,0.0,0.0,0.0,0.0,0.0,398.1,0.0,0.0,0.0,0.0,0.0
BER-01-A,1090.0,696.3,0.0,1070.6,0.0,0.0,1071.1,0.0,1086.0,0.0,0.0
BER-01-A-S1,1796.3,0.0,0.0,1783.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BER-02,1466.1,860.3,859.4,0.0,0.0,0.0,338.8,0.0,0.0,0.0,0.0
BER-03,3008.5,1976.6,1976.6,2522.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BER-04,1661.0,480.1,479.9,475.3,0.0,0.0,480.1,472.1,0.0,0.0,0.0
BGM-01,2308.1,1068.2,0.0,2004.7,0.0,0.0,0.0,2006.0,0.0,0.0,0.0
BGM-02,2648.1,2503.9,0.0,2493.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGM-03,1634.0,402.2,0.0,1208.7,0.0,975.8,307.2,1475.2,657.6,0.0,0.0
BGM-03-S3,445.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGM-03-S4,217.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGM-04,1784.9,538.6,0.0,751.2,0.0,206.3,539.5,538.6,538.6,0.0,0.0
BGM-05,922.3,343.8,0.0,922.9,0.0,0.0,492.4,0.0,923.5,0.0,0.0
BGM-06,783.0,31.1,0.0,783.6,0.0,0.0,783.2,783.2,783.2,0.0,0.0
BGM-06-S1,746.8,87.3,0.0,749.5,0.0,0.0,750.3,750.3,750.3,0.0,0.0
BGM-07,3248.1,934.1,905.3,2309.2,0.0,0.0,919.6,1719.2,0.0,0.0,0.0
