well_id,borehole_name,uwi,nitg_number,mapviewer_id,public_as_of,on_offshore,lon,lat,detail_url
L16-02-S1,L16-02-SIDETRACK1,8493,BL160166,106525752,1987-07-02,OFF,4.00397577,53.05682514,https://www.nlog.nl/nlog-mapviewer/brh/106525752
L16-03,L16-03,7380,BL160167,106525757,1988-03-20,OFF,4.01230327,53.0613483,https://www.nlog.nl/nlog-mapviewer/brh/106525757
L16-04,L16-04,7381,BL160168,106525762,1991-10-11,OFF,4.2726278,53.06227354,https://www.nlog.nl/nlog-mapviewer/brh/106525762
L16-05,L16-05,7382,BL160169,106525767,1992-03-01,OFF,4.04664017,53.06873738,https://www.nlog.nl/nlog-mapviewer/brh/106525767
M10-02,M10-02,7394,BM100232,106525832,1992-01-31,OFF,5.08004692,53.39167875,https://www.nlog.nl/nlog-mapviewer/brh/106525832
M10-03,M10-03,7724,BM100233,106527811,1996-10-16,OFF,5.15668267,53.45095997,https://www.nlog.nl/nlog-mapviewer/brh/106527811
M10-04,M10-04,7836,BM100234,106528348,1998-12-15,OFF,5.02198556,53.43148799,https://www.nlog.nl/nlog-mapviewer/brh/106528348
M10-05,M10-05,8481,BM100235,106531660,2010-08-19,OFF,5.27951143,53.46872783,https://www.nlog.nl/nlog-mapviewer/brh/106531660
M11-01,M11-01,7395,BM110128,106525837,1992-05-09,OFF,5.36294262,53.47794032,https://www.nlog.nl/nlog-mapviewer/brh/106525837
MAB-13,MAASBREE-13,1592,B58B0004,106507669,2003-01-01,ON,6.0129874,51.34530101,https://www.nlog.nl/nlog-mapviewer/brh/106507669
MAL-01,MARUMERLAGE-01,2446,B11F0089,106512323,2003-01-01,ON,6.26130965,53.15383152,https://www.nlog.nl/nlog-mapviewer/brh/106512323
MAN-74,MAASNIEL-74,1593,B58G0010,106507677,2003-01-01,ON,6.07007224,51.20506331,https://www.nlog.nl/nlog-mapviewer/brh/106507677
MAR-03,MARUM-03,3798,B11E0119,106518659,2003-01-01,ON,6.188135,53.13301738,https://www.nlog.nl/nlog-mapviewer/brh/106518659
MAR-101,MARUM-01,1594,B11E0075,106507686,2003-01-01,ON,6.18874944,53.13263219,https://www.nlog.nl/nlog-mapviewer/brh/106507686
MAR-102,MARUM-02,5179,B11E1620,228754340,2003-01-01,ON,6.18834023,53.13276007,https://www.nlog.nl/nlog-mapviewer/brh/228754340
MAR-102-S1,MARUM-02-SIDETRACK1,1595,B11E0085,106507692,2003-01-01,ON,6.18834023,53.13276007,https://www.nlog.nl/nlog-mapviewer/brh/106507692
MAS-OBS,MAASSLUIS-OBSERVATIE,3841,B37D0228,106518885,2003-01-01,ON,4.25915197,51.91287193,https://www.nlog.nl/nlog-mapviewer/brh/106518885
MBN-01,MIDDELBUREN-01,1596,B11B0095,106507698,2003-01-01,ON,6.0535835,53.11461386,https://www.nlog.nl/nlog-mapviewer/brh/106507698
MBN-02,MIDDELBUREN-02,5541,B11B1714,471517244,2014-11-18,ON,6.05324574,53.11448764,https://www.nlog.nl/nlog-mapviewer/brh/471517244
MDM-01,MIDDENMEER-01,1597,B14G0073,106507703,2003-01-01,ON,4.9826425,52.78479799,https://www.nlog.nl/nlog-mapviewer/brh/106507703
NOR-02,NORG-02,1673,B12A0074,106508111,2003-01-01,ON,6.42959466,53.09326619,https://www.nlog.nl/nlog-mapviewer/brh/106508111
NOR-03,NORG-03,1674,B12A0090,106508117,2003-01-01,ON,6.40325381,53.11140786,https://www.nlog.nl/nlog-mapviewer/brh/106508117
NOR-04,NORG-04,3757,B12A0162,106518501,2003-01-01,ON,6.40350451,53.11117585,https://www.nlog.nl/nlog-mapviewer/brh/106518501
NOR-05,NORG-05,3780,B12A0161,106518586,2003-01-01,ON,6.42925591,53.09295218,https://www.nlog.nl/nlog-mapviewer/brh/106518586
NOR-06,NORG-06,4895,B12A0191,106523443,2008-07-02,ON,6.40308839,53.11101688,https://www.nlog.nl/nlog-mapviewer/brh/106523443
NOR-21,NORG-21,4011,B12A0154,106519626,2006-04-28,ON,6.42951708,53.09285471,https://www.nlog.nl/nlog-mapviewer/brh/106519626
NOR-23,NORG-23,4001,B12A0160,106519596,2006-03-03,ON,6.4293865,53.09290345,https://www.nlog.nl/nlog-mapviewer/brh/106519596
NOR-31,NORG-31,4099,B12A0158,106520059,2006-10-20,ON,6.43030963,53.0936143,https://www.nlog.nl/nlog-mapviewer/brh/106520059
NOR-31-S1,NORG-31-SIDETRACK1,4112,B12A0157,106520063,2006-11-06,ON,6.43030963,53.0936143,https://www.nlog.nl/nlog-mapviewer/brh/106520063
NOR-31-S2,NORG-31-SIDETRACK2,4120,B12A0156,106520067,2006-11-18,ON,6.43030963,53.0936143,https://www.nlog.nl/nlog-mapviewer/brh/106520067
NOR-33,NORG-33,4088,B12A0159,106520007,2006-08-25,ON,6.43017905,53.09366304,https://www.nlog.nl/nlog-mapviewer/brh/106520007
